outbreak,model,cut_label,rho,T_obs,horizon,energy_score,crps,WIS,cov50,cov80,cov95,bd_rank,skill_clim,skill_pers,disease,L_obs,rho_min
flu1978,Diffusion,rising,1,4,5,4.62654363675955,2.0568465896348,1.86647318030537,0,0,0,1,0.3021959443393,-1.03466950432749,flu1978,14,0.390563564875492
flu1978,Diffusion,rising,1,4,10,4.93358827184709,1.44594680545402,1.30501483222398,0.1,0.3,0.5,5,0.257722904957071,-0.385841824025517,flu1978,14,0.390563564875492
flu1978,FlowMatching,rising,1,4,5,4.91702222986536,2.16186792994744,1.9089928534121,0,0,0,2,0.0767326388756734,-1.1262074611723,flu1978,14,0.390563564875492
flu1978,FlowMatching,rising,1,4,10,5.2890968782653,1.47068085844339,1.30040160828936,0.2,0.3,0.5,18,0.252976283732008,-0.469502662292587,flu1978,14,0.390563564875492
flu1978,StochasticInterpolants,rising,1,4,5,5.18205196587126,2.33313807031923,2.09022840541312,0,0,0,3,0.152058666102363,-1.32020021504245,flu1978,14,0.390563564875492
flu1978,StochasticInterpolants,rising,1,4,10,5.52842253359648,1.60206555168369,1.43005675733423,0.1,0.3,0.5,13,0.19090351948457,-0.514260154688109,flu1978,14,0.390563564875492
flu1978,Diffusion,peak,1,6,5,0.699520908154549,0.277748901107732,0.247715378254884,0.4,0.8,1,38,0.878976087469938,0.522936680714279,flu1978,14,0.390563564875492
flu1978,FlowMatching,peak,1,6,5,1.96424962008567,0.695544397827991,0.618245182550329,0.2,0.4,0.8,20,0.583917695189579,-0.308652215581732,flu1978,14,0.390563564875492
flu1978,StochasticInterpolants,peak,1,6,5,1.1450681503035,0.405768205915036,0.360221049014374,0.2,0.6,1,31,0.772797699488605,0.226835906078225,flu1978,14,0.390563564875492
flu1978,Diffusion,declining,1,9,5,1.9678549619604,0.606629718862234,0.58728213317941,0.2,0.4,0.6,8,0.145998337710939,0.541117415302783,flu1978,14,0.390563564875492
flu1978,FlowMatching,declining,1,9,5,1.32524103220411,0.536719901328418,0.474794627951578,0,0,0.6,4,0.405827641536632,0.691965940312054,flu1978,14,0.390563564875492
flu1978,StochasticInterpolants,declining,1,9,5,0.791503664915171,0.320464326545295,0.283932294804889,0.2,0.6,1,29,0.646462043162442,0.812349011173811,flu1978,14,0.390563564875492
hagelloch,Diffusion,rising,1,24,5,1.96292606904938,0.882977437847565,0.858910273820248,0,0,0,1,0.363481640074237,-0.466840637549494,hagelloch,95,0.531914893617021
hagelloch,Diffusion,rising,1,24,10,2.59466022185158,0.828767075584613,0.795297825460684,0,0,0,1,0.408806877022987,-0.161395316890262,hagelloch,95,0.531914893617021
hagelloch,Diffusion,rising,1,24,15,3.52835674757133,0.907986926512431,0.868093777547816,0,0,0,1,0.269670602324195,0.00397966707323438,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,rising,1,24,5,2.57489465281564,1.15791706276364,1.12306507034073,0,0,0,1,0.0942324523331002,-0.984410301641185,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,rising,1,24,10,3.52273912283869,1.12533859684143,1.07886870204606,0,0,0,1,0.306584913599921,-0.594408865675402,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,rising,1,24,15,4.73936440727126,1.224611866178,1.17220873825698,0,0,0,1,0.161794075370976,-0.334124761293356,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,rising,1,24,5,2.62732618460148,1.17920187608746,1.11531753843413,0,0,0,1,0.234260032385358,-0.959520330372623,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,rising,1,24,10,3.57707516066585,1.13571724831333,1.05529091150234,0,0,0,1,-0.0156143419906765,-0.610604387016599,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,rising,1,24,15,4.74895576125254,1.22319891505273,1.1369181189818,0,0,0,1,0.239215059062924,-0.338998305997237,hagelloch,95,0.531914893617021
hagelloch,Diffusion,peak,1,40,5,0.525304835477387,0.200904725707022,0.185355007579624,0,0.2,0.4,7,0.882663108687766,0.746508539959262,hagelloch,95,0.531914893617021
hagelloch,Diffusion,peak,1,40,10,0.667082142162374,0.174553643615339,0.158343479682539,0.2,0.5,0.7,15,0.901810256488243,0.854863610784222,hagelloch,95,0.531914893617021
hagelloch,Diffusion,peak,1,40,15,0.843203915206463,0.184010827632028,0.166730577967473,0.2,0.533333333333333,0.733333333333333,15,0.845004280382327,0.897603627908458,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,peak,1,40,5,0.67638246545617,0.249527961569364,0.231759271355426,0.2,0.2,0.2,6,0.850296009185887,0.675308739942147,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,peak,1,40,10,0.793400209854028,0.222012030763942,0.202017369949241,0.3,0.4,0.6,11,0.876550167091909,0.827048550827042,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,peak,1,40,15,1.24886903968097,0.26685845307793,0.241450141194393,0.333333333333333,0.533333333333333,0.733333333333333,11,0.81267509995948,0.848586412264133,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,peak,1,40,5,0.59746734346284,0.244066625010965,0.228232559117303,0,0.4,0.6,6,0.891072568388852,0.711750088485276,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,peak,1,40,10,0.623318797546638,0.177666935923505,0.163689413598579,0.4,0.7,0.8,16,0.902779298203287,0.864340838614548,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,peak,1,40,15,0.948893593045198,0.205953847619336,0.186684046365704,0.4,0.8,0.866666666666667,19,0.83766518121904,0.884898051374724,hagelloch,95,0.531914893617021
hagelloch,Diffusion,declining,1,62,5,1.26367146814102,0.463465981411439,0.408374387829766,0.6,0.6,1,1,-15.3728469890692,-0.0142612905215045,hagelloch,95,0.531914893617021
hagelloch,Diffusion,declining,1,62,10,1.27676110943325,0.261374030419292,0.230411439539185,0.8,0.8,1,9,-5.51143420075451,0.256436964288984,hagelloch,95,0.531914893617021
hagelloch,Diffusion,declining,1,62,15,1.40454962606159,0.223609850855592,0.196912113392692,0.8,0.866666666666667,1,8,-10.2166777437716,0.365182172350387,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,declining,1,62,5,0.782176922058733,0.26030007572615,0.230373748071261,0.6,1,1,9,-0.921718475098094,0.302879620846436,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,declining,1,62,10,1.00706667687778,0.219263749435026,0.194387351335654,0.8,1,1,11,-4.80781226581667,0.435500067618013,hagelloch,95,0.531914893617021
hagelloch,FlowMatching,declining,1,62,15,1.20050660265808,0.209115049270156,0.185428952693489,0.866666666666667,1,1,11,-8.59973261468389,0.479880254365882,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,declining,1,62,5,0.943933339072702,0.285532732894448,0.252604607169444,1,1,1,23,-5.49827022923949,0.292373333314096,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,declining,1,62,10,1.39373103563835,0.28965195884192,0.255692957137098,1,1,1,14,-3.3281712875573,0.25634661417388,hagelloch,95,0.531914893617021
hagelloch,StochasticInterpolants,declining,1,62,15,1.70716929627885,0.281578833315323,0.249136436777806,1,1,1,11,-5.65627679663152,0.283385530343926,hagelloch,95,0.531914893617021
react,Diffusion,rising,0.5,38,5,2.69327875760616,0.876632448753931,0.799981646606712,0.2,0.2,0.2,1,0.423846814801067,-3.6476180842707,react,66,0.0916808149405773
react,Diffusion,rising,0.5,38,10,6.16393266731003,1.5448996114679,1.42619997304535,0.1,0.1,0.1,1,0.185231865567323,-5.27128119047757,react,66,0.0916808149405773
react,Diffusion,rising,0.5,38,15,8.64992533610954,1.86232726251771,1.72905924814184,0.0666666666666667,0.0666666666666667,0.0666666666666667,1,0.0296986125028215,-4.11689025073168,react,66,0.0916808149405773
react,Diffusion,rising,0.75,38,5,2.30810064707655,0.769283661637471,0.703444087370334,0,0.2,0.4,2,0.331128842733852,-3.30616817168505,react,66,0.0916808149405773
react,Diffusion,rising,0.75,38,10,5.15045563032401,1.28877904232163,1.18214517009576,0,0.1,0.2,1,-0.0381101996537181,-3.545156359832,react,66,0.0916808149405773
react,Diffusion,rising,0.75,38,15,7.49176778939213,1.59660826948694,1.47608027337988,0,0.0666666666666667,0.133333333333333,1,0.286237098969174,-3.58248508019505,react,66,0.0916808149405773
react,Diffusion,rising,1,38,5,1.81054569730996,0.638384904884865,0.588090908090188,0,0,0.2,1,0.381682943890001,-2.27794153649508,react,66,0.0916808149405773
react,Diffusion,rising,1,38,10,4.98820790751649,1.22288498892487,1.13988086369671,0,0,0.1,1,0.0612567082514075,-4.01099805730952,react,66,0.0916808149405773
react,Diffusion,rising,1,38,15,7.10509599459823,1.50514408376218,1.4131836432477,0,0,0.0666666666666667,1,0.0301487183958905,-3.07707606509658,react,66,0.0916808149405773
react,FlowMatching,rising,0.5,38,5,1.73301700565815,0.638170186702597,0.58940290568272,0,0.2,0.4,2,0.620081921642866,-1.88799080625524,react,66,0.0916808149405773
react,FlowMatching,rising,0.5,38,10,3.72330724850966,1.06455355856738,0.97321220817173,0,0.1,0.2,1,0.62272613207633,-2.52549973024232,react,66,0.0916808149405773
react,FlowMatching,rising,0.5,38,15,5.6763025089577,1.36281928479515,1.24772331445548,0,0.0666666666666667,0.133333333333333,1,0.481933866925715,-2.2817851192041,react,66,0.0916808149405773
react,FlowMatching,rising,0.75,38,5,1.23375748639232,0.431888110855667,0.387955337556887,0,0.2,0.6,12,0.682154709633817,-1.32215052962237,react,66,0.0916808149405773
react,FlowMatching,rising,0.75,38,10,2.64393395664397,0.742637925145486,0.661292346089203,0,0.1,0.3,8,0.631839474999067,-1.44754575982022,react,66,0.0916808149405773
